,molecule_chembl_id,canonical_smiles,MW,LogP,NumHDonors,NumHAcceptors,pIC50
115,CHEMBL1577,CN1C(CCl)Nc2cc(Cl)c(S(N)(=O)=O)cc2S1(=O)=O,360.2440000000001,0.5983000000000003,2.0,5.0,7.775466937393914
116,CHEMBL344159,Cc1ccccc1C(=O)Nc1ccc(C(=O)N2CCCC(O)c3cc(Cl)ccc32)c(C)c1,448.9500000000001,5.683140000000005,2.0,3.0,7.631341287607773
117,CHEMBL1179047,CCN(CC)CCOC(=O)c1ccc(N)cc1Cl,270.76,2.4208,1.0,4.0,7.653647025549361
118,CHEMBL593019,Cc1ncc(CO)c(CN)c1O,168.19599999999997,0.046620000000000106,3.0,4.0,7.4278256863869405
119,CHEMBL56900,c1ccc(Cn2c(N3CCNCC3)nc3ccccc32)cc1,292.386,2.4942,1.0,4.0,7.449282576530718
120,CHEMBL1076211,Cc1ccc(C(=O)C(C)CN2CCCCC2)cc1,245.36599999999993,3.2997200000000024,0.0,2.0,7.815024809301739
121,CHEMBL333133,c1ccc(Oc2cccnc2)cc1,171.19899999999998,2.873900000000001,0.0,2.0,7.489454989793388
122,CHEMBL607707,CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,467.9320000000002,5.097580000000004,2.0,6.0,7.615288257061717
123,CHEMBL2105759,CCS(=O)(=O)N1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,371.4260000000001,1.09568,1.0,7.0,6.999869731194773
124,CHEMBL308954,Cc1cc(C#N)cc(C)c1Oc1nc(Nc2ccc(C#N)cc2)nc(N)c1Br,435.2850000000001,4.717400000000002,2.0,7.0,7.835647144215563
125,CHEMBL225411,O=C(NCC1CCOCC1)c1cnc(Nc2ccc(Cl)cc2Cl)nc1C(F)(F)F,449.2600000000001,4.702200000000003,2.0,5.0,8.011887159731648
126,CHEMBL154111,O=C(Oc1ccccc1C(=O)O)c1ccccc1O,258.229,2.309600000000001,2.0,4.0,7.635449004646028
127,CHEMBL37935,Cc1oc2nc3c(c(NC(=O)CN4CCCC4=O)c2c1C)CCCC3,341.4110000000002,2.884340000000001,1.0,4.0,7.439256698945288
128,CHEMBL495498,CC(C)Cc1sc(N)nc1-c1ccc(P(=O)(O)O)o1,302.292,1.9868000000000006,3.0,5.0,
129,CHEMBL4573312,CC(C)c1ccc2c(c1)C(N1CCN(CCO)CC1)Cc1ccc(F)cc1S2,400.5630000000001,4.307400000000004,1.0,4.0,7.682981898951889
130,CHEMBL4303395,CC1(C)[C@H]2C[C@H](O)[C@](C)(O)[C@@H]1C2,170.25199999999998,1.1643,2.0,2.0,7.537003387971944
131,CHEMBL445813,O=C(NC1CCNCC1)c1n[nH]cc1NC(=O)c1c(Cl)cccc1Cl,382.2510000000001,2.4505999999999997,4.0,4.0,7.715343717211484
132,CHEMBL38,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,300.44200000000006,5.602600000000005,1.0,1.0,
133,CHEMBL1800955,COC(=O)N1CCN(Cc2cccc(NC(=O)Nc3ccc(C)nc3)c2F)CC1,401.44200000000023,3.057120000000001,2.0,5.0,7.930331903088404
134,CHEMBL565612,CN1CCN(c2nc(C3=C(c4c[nH]c5ccccc45)C(=O)NC3=O)c3ccccc3n2)CC1,438.49100000000027,2.4301000000000004,2.0,6.0,7.432503108895777
135,CHEMBL377725,O=C1C=CC[C@@H]2[C@H]3CCCN4CCC[C@@H](CN12)[C@@H]34,246.35399999999996,1.6477,0.0,2.0,7.817870785947002
136,CHEMBL361497,C[C@@H]1CC[C@H]2[C@@H](C)[C@H](OC(=O)CCC(=O)O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4,384.4250000000002,2.6024000000000003,1.0,7.0,7.566710314804975
137,CHEMBL4303521,CC(=O)NCCC(=O)N[C@@H](Cc1c[nH]cn1)C(=O)O,268.273,-0.9521999999999988,4.0,4.0,7.435926021022853
138,CHEMBL152067,CC(C)(C)NCC(O)COc1ccc(NC(=O)NC2CCCCC2)cc1,363.50200000000024,3.268600000000002,4.0,4.0,7.56431486205837
139,CHEMBL4542250,CC(=O)SCCC(=O)N1[C@@H](C)CCC[C@H]1C(=O)O,273.354,1.5104000000000002,1.0,4.0,7.937794191180288
140,CHEMBL2107381,CC(=O)OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@H](OC(C)=O)[C@@H]1OC(C)=O,370.31400000000014,-1.1394999999999988,1.0,10.0,7.590235895733654
141,CHEMBL1138,O=C1[C@H](CC[C@H](O)c2ccc(F)cc2)[C@@H](c2ccc(O)cc2)N1c1ccc(F)cc1,409.4320000000001,4.888300000000004,2.0,3.0,7.829444941478791
142,CHEMBL3184512,CCC[C@@H]1C[C@@H](C(=O)N[C@H]([C@H](C)Cl)[C@H]2O[C@H](SC)[C@H](OP(=O)(O)O)[C@@H](O)[C@H]2O)N(C)C1,504.9700000000002,0.5065000000000002,5.0,8.0,7.677987561417599
143,CHEMBL2095212,Nc1nc(CC(=O)Nc2ccc(CCNC[C@H](O)c3ccccc3)cc2)cs1,396.516,2.7722000000000007,4.0,6.0,7.999565922520682
144,CHEMBL11662,O=C(O)/C=C/c1ccc(Cn2ccnc2)cc1,228.251,2.0292,1.0,3.0,7.572351628813068
145,CHEMBL256997,O=C(O)c1cccc(-c2noc(-c3ccccc3F)n2)c1,284.246,3.240900000000001,1.0,4.0,7.506123889147177
146,CHEMBL1441961,CC(C)=CCOc1ccc(/C=C/C(=O)c2ccc(OCC=C(C)C)cc2OCC(=O)O)cc1,450.53100000000023,5.736100000000006,1.0,5.0,7.634137784597445
147,CHEMBL307697,O=[N+]([O-])c1ccc(NN=C(c2ccc(O)cc2)c2ccc(O)cc2)c([N+](=O)[O-])c1,394.34300000000013,3.7787000000000015,3.0,8.0,8.082494490447454
148,CHEMBL601,NCC(=O)CCC(=O)O,131.131,-0.6210000000000004,2.0,3.0,7.502379350218712
149,CHEMBL1329032,CC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)O,304.255,-1.5999999999999988,5.0,5.0,7.584359020103846
150,CHEMBL1237132,CCCC(=O)OCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl,456.3220000000001,4.245200000000003,1.0,7.0,7.1928033392890525
151,CHEMBL2216870,CC[C@H](Nc1ncnc2[nH]cnc12)c1nc2cccc(F)c2c(=O)n1-c1ccccc1,415.43200000000013,3.7543000000000015,2.0,7.0,7.518700726667144
152,CHEMBL3545157,O=c1sn(-c2cccc3ccccc23)c(=O)n1Cc1ccccc1,334.40000000000003,3.2622000000000018,0.0,5.0,6.992935343621668
153,CHEMBL477772,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,437.52900000000017,3.1390400000000005,2.0,8.0,7.780415473785745
154,CHEMBL458875,Cc1cn([C@H]2O[C@@H](CO)[C@H](O)[C@H]2F)c(=O)[nH]c1=O,260.221,-1.5662799999999997,3.0,6.0,7.609594843519919
155,CHEMBL1200370,O=C(OOC(=O)c1ccccc1)c1ccccc1,242.23000000000002,2.615400000000001,0.0,4.0,7.513144644723057
156,CHEMBL1407844,c1ccc(OCc2ccc(CCCN3CCOCC3)cc2)cc1,311.42499999999995,3.530400000000002,0.0,3.0,7.548981547844543
157,CHEMBL1697827,CN1C2=CC(=O)/C(=N\NC(N)=O)C=C2CC1S(=O)(=O)O,300.29600000000005,-1.046899999999999,3.0,6.0,7.48758245139916
158,CHEMBL283800,CN(CC(=O)O)C(=N)N,131.13499999999996,-1.1037299999999988,3.0,2.0,7.559720786764411
159,CHEMBL204860,O=C1CCC[C@@H]2[C@H]3CCCN4CCC[C@@H](CN12)[C@@H]34,248.36999999999995,1.8717,0.0,2.0,7.445874418486987
160,CHEMBL142652,OC[C@H]1O[C@@H](Oc2cc(O)cc(/C=C/c3ccc(O)cc3)c2)[C@H](O)[C@@H](O)[C@@H]1O,390.38800000000003,0.44689999999999946,6.0,8.0,7.688034339631634
